text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,tag
"Macmillan ELT Global Teachers' Festival Day 5 features 
David Spencer - 'Learning to think, Thinking to learn' and… https://t.co/v9SFU9vNCg",FALSE,2,NA,2021-02-12T01:29:39Z,TRUE,NA,1360038326510579712,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",SpaffordDel,1,FALSE,FALSE,NA,NA,onlinelearning
This week we tried a “This or That” workout and enjoyed a Valentine’s Day story from #EPIC with our Reading Buddies… https://t.co/OYf5DdEiup,FALSE,5,NA,2021-02-12T01:26:09Z,TRUE,NA,1360037444377325569,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",kristentennant_,0,FALSE,FALSE,NA,NA,onlinelearning
"RT @swarupandas: #npcindia for #Higher #productivity and #SelfImprovement 
#npccertificate #NPC_INDIA_GOV #onlinelearning #EnergyEfficiency…",FALSE,0,NA,2021-02-12T01:16:13Z,FALSE,NA,1360034942768476165,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ShirishPaliwal,27,TRUE,FALSE,NA,NA,onlinelearning
"RT @OhioState4Work: For #wellnesswednesday, we'd like to give a shout-out to our Program Director, Traci Lepicki (@lepicki), as well as spo…",FALSE,0,NA,2021-02-12T01:15:06Z,FALSE,NA,1360034661636972546,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",vivian_martins4,2,TRUE,FALSE,NA,NA,onlinelearning
"RT @swarupandas: #npcindia for #Higher #productivity and #SelfImprovement 
#npccertificate #NPC_INDIA_GOV #onlinelearning #EnergyEfficiency…",FALSE,0,NA,2021-02-12T01:14:31Z,FALSE,NA,1360034515930943491,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ShirishPaliwal,60,TRUE,FALSE,NA,NA,onlinelearning
"RT @swarupandas: #npcindia for #Higher #productivity and #SelfImprovement 
#npccertificate #NPC_INDIA_GOV #onlinelearning #EnergyEfficiency…",FALSE,0,NA,2021-02-12T01:14:26Z,FALSE,NA,1360034494988734465,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ShirishPaliwal,29,TRUE,FALSE,NA,NA,onlinelearning
"RT @swarupandas: #npcindia for #Higher #productivity and #SelfImprovement 
#npccertificate #NPC_INDIA_GOV #onlinelearning #EnergyEfficiency…",FALSE,0,NA,2021-02-12T01:13:52Z,FALSE,NA,1360034351715545094,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ShirishPaliwal,53,TRUE,FALSE,NA,NA,onlinelearning
"RT @swarupandas: #npcindia for #Higher #productivity and #SelfImprovement 
#npccertificate #NPC_INDIA_GOV #onlinelearning #EnergyEfficiency…",FALSE,0,NA,2021-02-12T01:13:31Z,FALSE,NA,1360034263656091648,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ShirishPaliwal,54,TRUE,FALSE,NA,NA,onlinelearning
"RT @swarupandas: #npcindia for #Higher #productivity and #SelfImprovement 
#npccertificate #NPC_INDIA_GOV #onlinelearning #EnergyEfficiency…",FALSE,0,NA,2021-02-12T01:12:49Z,FALSE,NA,1360034087491174400,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ShirishPaliwal,43,TRUE,FALSE,NA,NA,onlinelearning
#RT @eschoolnews: 5 ways to bridge the gap between in-person and online learning https://t.co/Cys63Xgtbn… https://t.co/6ptb29M5KA,FALSE,0,NA,2021-02-12T01:12:43Z,TRUE,NA,1360034064284192773,NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",Rdene915,0,FALSE,FALSE,NA,NA,onlinelearning
5 ways to bridge the gap between in-person and online learning https://t.co/SxrLGpy4r5 #onlinelearning… https://t.co/AfB3K9PWoS,FALSE,2,NA,2021-02-12T01:10:03Z,TRUE,NA,1360033390381174792,NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",eschoolnews,0,FALSE,FALSE,NA,NA,onlinelearning
RT @Catlin_Tucker: Looking for ways to foster collaboration in your socially distant classroom or online? Create virtual social learning sp…,FALSE,0,NA,2021-02-12T01:08:48Z,FALSE,NA,1360033078337536004,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",camer1rox,76,TRUE,FALSE,NA,NA,onlinelearning
